date,temperature_2m_max (°C),temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²)
2018-12-01,26.7,20.0,0.00,10.5,69,13.95
2018-12-02,27.8,20.7,0.00,10.7,80,16.24
2018-12-03,27.9,20.9,0.00,10.0,46,14.86
2018-12-04,27.8,21.5,0.00,9.7,79,15.20
2018-12-05,28.3,21.8,0.00,13.8,141,16.60
2018-12-06,29.2,21.8,0.00,13.0,284,17.18
2018-12-07,29.4,21.7,0.00,13.1,328,16.69
2018-12-08,29.6,22.4,0.00,16.0,271,16.77
2018-12-09,29.7,20.9,0.00,13.0,303,16.94
2018-12-10,26.9,19.5,0.00,11.7,310,17.37
2018-12-11,26.5,19.1,0.00,11.2,345,17.03
2018-12-12,26.1,19.3,0.00,10.9,341,16.88
2018-12-13,26.0,19.5,0.00,11.6,23,16.72
2018-12-14,25.7,19.1,0.00,16.7,69,16.62
2018-12-15,26.2,19.7,0.00,18.9,83,16.48
2018-12-16,25.5,19.4,0.00,15.6,75,16.82
2018-12-17,24.7,17.8,0.00,12.7,76,16.83
2018-12-18,25.7,18.8,0.00,11.3,72,16.89
2018-12-19,25.2,17.1,0.00,15.4,78,17.40
2018-12-20,25.5,17.4,0.00,15.3,82,17.27
2018-12-21,26.3,18.3,0.00,10.4,67,16.94
2018-12-22,27.6,19.2,0.00,9.1,62,16.90
2018-12-23,28.3,20.3,0.00,11.4,65,15.90
2018-12-24,29.2,21.5,0.00,13.1,336,12.92
2018-12-25,29.6,22.2,0.00,12.7,272,16.42
2018-12-26,26.4,19.7,0.00,16.2,298,16.83
2018-12-27,24.3,16.2,0.00,14.0,36,17.59
2018-12-28,23.7,16.0,0.00,18.4,81,17.75
2018-12-29,24.3,15.7,0.00,15.7,83,17.65
2018-12-30,24.9,16.2,0.00,14.9,81,17.52
2018-12-31,26.1,17.0,0.00,13.6,80,17.54
2019-01-01,27.4,17.9,0.00,12.2,69,16.98
2019-01-02,28.2,19.0,0.00,11.6,3,17.50
2019-01-03,28.8,20.5,0.00,12.2,35,17.37
2019-01-04,29.0,20.1,0.00,12.5,35,17.45
2019-01-05,29.3,20.3,0.00,11.5,280,17.36
2019-01-06,27.3,18.8,0.00,12.9,330,17.70
2019-01-07,25.9,17.1,0.00,13.4,73,17.78
2019-01-08,26.4,17.2,0.00,11.5,69,17.90
2019-01-09,27.2,17.3,0.00,10.1,46,17.91
2019-01-10,27.6,18.1,0.00,10.8,63,17.87
2019-01-11,28.9,18.7,0.00,9.5,359,17.72
2019-01-12,28.7,20.1,0.00,13.1,272,17.87
2019-01-13,27.5,19.0,0.00,13.0,342,18.03
2019-01-14,27.3,18.8,0.00,14.1,59,17.83
2019-01-15,27.7,19.4,0.00,11.3,78,17.86
2019-01-16,29.1,20.3,0.00,14.0,42,17.86
2019-01-17,29.8,21.4,0.00,15.2,327,18.04
2019-01-18,29.4,20.7,0.00,11.7,40,18.27
2019-01-19,29.4,20.9,0.00,11.5,63,18.18
2019-01-20,29.7,22.5,0.00,9.9,64,18.35
2019-01-21,29.0,21.4,0.00,18.1,251,18.32
2019-01-22,25.9,19.2,0.00,19.3,254,18.18
2019-01-23,24.8,18.2,0.00,14.0,282,16.82
2019-01-24,26.6,18.5,0.00,18.1,313,18.31
2019-01-25,24.5,18.1,0.00,17.8,335,19.36
2019-01-26,24.1,17.1,0.00,16.2,51,18.72
2019-01-27,24.3,17.4,0.00,16.0,67,19.16
2019-01-28,23.1,16.6,0.00,16.6,72,19.38
2019-01-29,23.9,16.1,0.00,15.2,80,19.74
2019-01-30,26.8,17.7,0.00,13.2,73,19.55
2019-01-31,27.4,19.1,0.00,11.2,262,19.24
2019-02-01,28.4,19.8,0.00,12.0,276,19.30
2019-02-02,28.3,20.4,0.00,14.3,355,18.18
2019-02-03,28.7,21.6,0.00,12.5,321,15.91
2019-02-04,29.6,22.6,0.00,17.9,119,17.63
2019-02-05,29.7,22.2,0.00,13.5,250,19.04
2019-02-06,29.1,21.9,0.00,18.2,261,19.15
2019-02-07,24.6,18.8,0.00,22.6,280,20.00
2019-02-08,22.3,15.8,0.00,16.8,293,21.19
2019-02-09,23.7,14.7,0.00,17.4,64,21.66
2019-02-10,27.6,17.2,0.00,14.8,79,21.34
2019-02-11,29.8,19.7,0.00,17.2,36,20.98
2019-02-12,31.7,22.9,0.00,16.0,14,19.13
2019-02-13,31.3,24.2,0.00,14.8,259,18.28
2019-02-14,31.3,23.4,0.00,16.9,283,20.16
2019-02-15,29.4,22.6,0.00,17.4,286,21.20
2019-02-16,27.6,20.1,0.00,15.7,335,21.65
2019-02-17,29.4,20.9,0.00,15.4,333,21.63
2019-02-18,31.7,21.9,0.00,10.9,295,21.48
2019-02-19,32.8,22.8,0.00,13.6,292,21.66
2019-02-20,34.1,24.7,0.00,14.6,60,21.57
2019-02-21,34.0,24.7,0.00,15.1,257,20.33
2019-02-22,34.0,25.7,0.00,16.3,304,21.26
2019-02-23,34.1,25.3,0.00,17.9,331,21.45
2019-02-24,33.2,24.7,0.00,20.1,294,22.18
2019-02-25,30.7,23.7,0.00,15.7,306,22.32
2019-02-26,27.9,22.9,0.00,21.6,294,22.56
2019-02-27,26.6,20.9,0.00,21.4,277,21.02
2019-02-28,27.7,20.6,0.00,12.1,349,22.88
2019-03-01,29.7,21.4,0.00,11.2,56,22.60
2019-03-02,34.0,24.0,0.00,19.6,174,22.58
2019-03-03,30.6,23.2,0.00,15.5,268,22.43
2019-03-04,29.0,22.2,0.00,18.1,275,20.76
2019-03-05,29.7,21.6,0.00,15.5,279,22.52
2019-03-06,28.7,21.3,0.00,13.0,295,23.64
2019-03-07,30.6,22.0,0.00,14.8,302,23.82
2019-03-08,33.2,23.8,0.00,17.3,301,23.21
2019-03-09,32.3,24.7,0.00,19.1,301,23.22
2019-03-10,33.3,25.0,0.00,16.9,305,23.45
2019-03-11,31.9,24.6,0.00,15.8,286,23.57
2019-03-12,33.5,24.9,0.00,15.2,291,23.41
2019-03-13,32.0,24.4,0.00,17.1,291,20.62
2019-03-14,31.0,23.9,0.00,16.1,298,23.70
2019-03-15,32.2,24.4,0.00,15.4,339,24.16
2019-03-16,34.7,25.5,0.00,16.4,289,24.14
2019-03-17,33.8,26.0,0.00,14.5,284,24.05
2019-03-18,33.8,25.8,0.00,20.2,319,24.49
2019-03-19,34.3,26.1,0.00,18.2,316,24.87
2019-03-20,34.2,25.4,0.00,18.9,277,24.59
2019-03-21,33.0,25.0,0.00,15.5,273,25.02
2019-03-22,33.7,24.9,0.00,14.7,312,25.01
2019-03-23,34.8,27.1,0.00,15.0,329,24.87
2019-03-24,35.7,27.7,0.00,12.7,355,24.79
2019-03-25,36.3,28.9,0.00,14.3,1,24.34
2019-03-26,36.5,28.8,0.00,16.0,4,25.34
2019-03-27,36.8,28.5,0.00,16.3,320,25.55
2019-03-28,37.6,28.7,0.00,16.0,302,25.02
2019-03-29,38.0,29.4,0.00,19.4,294,24.99
2019-03-30,37.5,29.8,0.00,17.8,300,23.65
2019-03-31,36.3,28.9,0.00,19.0,279,24.60
2019-04-01,36.4,27.7,0.00,15.8,252,25.92
2019-04-02,37.4,27.5,0.00,18.4,254,25.89
2019-04-03,38.0,28.7,0.00,17.0,269,25.78
2019-04-04,38.9,29.4,0.00,22.3,292,25.08
2019-04-05,37.1,28.7,0.00,19.1,268,24.89
2019-04-06,36.9,28.8,0.00,19.1,289,25.17
2019-04-07,37.1,29.1,0.00,18.5,282,25.90
2019-04-08,38.1,29.1,0.00,20.3,284,25.83
2019-04-09,36.5,29.3,0.00,21.8,288,26.07
