date, pm25, pm10, o3, no2, so2, co
2025/1/1, 166, 66, 6, 1, 2, 6
2025/1/2, 130, 65, 4, 2, 4, 7
2025/1/3, 130, 81, 5, 4, 8, 8
2025/1/4, 151, 63, 5, 2, 4, 5
2025/1/5, 127, 65, 4, 1, 2, 4
2025/1/6, 138, 66, 5, 3, 2, 5
2025/1/7, 131, 68, 5, 3, 6, 6
2025/1/8, 136, 72, 4, 4, 6, 6
2025/1/9, 144, 74, 5, 5, 3, 7
2025/1/10, 146, 76, 7, 3, 1, 5
2025/1/11, 151, 74, 3, 1, 3, 5
2025/1/12, 146, 84, 4, 2, 2, 4
2025/1/13, 159, 86, 3, 2, 2, 6
2025/1/14, 159, 96, 3, 4, 1, 4
2025/1/15, 166, 88, 3, 4, 1, 3
2025/1/16, 161, 79, 3, 5, 8, 3
2025/1/17, 155, 90, 25, 11, 7, 8
2025/1/18, 163, , , , , 
2025/1/20, 172, 94, 28, 10, 4, 9
2025/1/21, 162, 79, 30, 9, 1, 7
2025/1/22, 152, 66, 30, 8, 2, 8
2025/1/23, 131, 79, 32, 8, 2, 11
2025/1/24, 146, 81, 32, 10, 1, 7
2025/1/25, 155, 74, 34, 8, 3, 8
2025/1/26, 143, 63, 12, 9, 1, 6
2025/1/27, 124, , , , , 
2024/10/1, 99, 45, 12, 4, 2, 3
2024/10/2, 93, 57, 11, 5, 2, 5
2024/10/3, 107, 43, 11, 5, 2, 2
2024/10/4, 86, 37, 11, 5, 2, 2
2024/10/5, 77, 57, 16, 5, 2, 5
2024/10/6, 100, 69, 18, 6, 2, 5
2024/10/7, 137, 72, 19, 5, 2, 6
2024/10/8, 141, 66, 10, 5, 2, 4
2024/10/9, 150, 49, 4, 5, 2, 4
2024/10/10, 94, , , , , 
2024/10/15, 146, 68, 13, 6, , 4
2024/10/16, 142, 78, 14, 6, , 4
2024/10/17, 150, 79, 10, 6, , 4
2024/10/18, 150, 61, 11, 6, , 3
2024/10/19, 111, 70, 12, 7, , 3
2024/10/20, 114, 61, 12, 7, , 3
2024/10/21, 104, 65, 8, 6, , 2
2024/10/22, 112, 76, 12, 7, 1, 6
2024/10/23, 137, 87, 17, 7, , 5
